url,file_type,is_subscriber_content
https://drive.google.com/drive/u/0/folders/1Y8YYouL45dSLDuNKFTdv-Jesnw8nvMe_,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1H-imONdSny_FoqndBXKTTldIsmE5xqsy,,False
https://drive.google.com/drive/folders/1ALIvsG0ZMp3uJEEvaMzE5VxwmLrRD8WH,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://iu.mediaspace.kaltura.com/media/Q+%26+A+with+the+IU+Box+Migration+Team/1_1rj6jup4,,False
https://drive.google.com/drive/folders/1zZ5YnND9tO-MFreZxsMU4bdq9D6aBw5S,,False
https://docs.google.com/document/d/1jOSro7p2Gm2-1iE7-sA_dwTl7ZGJcQCJ634WO7M90-g,,False
https://drive.google.com/file/d/1s8TMiZ__Xl4e2zAqgDCikdg_zw1P_0Ju,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://docs.google.com/document/d/16asx38iYldnKPEMxmcsxxu1fTfW9ecqKyM9mNgYaSDw,,False
https://docs.google.com/document/d/16asx38iYldnKPEMxmcsxxu1fTfW9ecqKyM9mNgYaSDw,,False
https://docs.google.com/document/d/1Q-3zsMMByKZoi-G9xXtKF-apKk0JjKrOosA0pbGJqMs,,False
https://drive.google.com/drive/folders/1zZ5YnND9tO-MFreZxsMU4bdq9D6aBw5S,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://docs.google.com/document/d/1Q-3zsMMByKZoi-G9xXtKF-apKk0JjKrOosA0pbGJqMs,,False
https://docs.google.com/document/d/1dWf6nNe6ZbsXXyrcnmhoGKtBaB9e09b1vzPw_02S3Kk,,False
https://docs.google.com/document/d/1dWf6nNe6ZbsXXyrcnmhoGKtBaB9e09b1vzPw_02S3Kk,,False
https://drive.google.com/drive/folders/1Vukyl-22FukcJRKHHBpJYbZL0EW0YCXl,,False
https://drive.google.com/file/d/1ACYIJvEoOhu_02TLZOZ5wsl3Am-M_hg9,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/file/d/1ACYIJvEoOhu_02TLZOZ5wsl3Am-M_hg9,,False
https://drive.google.com/drive/folders/1vhUFKHy8LEyFgc4L3OzPIiWZRq5AGtl_,,False
https://drive.google.com/open?id=1gJUAQ5syz6itEUiI5KvEZlVX1zmbFEIK,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/open?id=1PPQTIZVjgFoMHaJ4x3rZVmO-4UHY1m83,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/open?id=1H_thraF-oaIutavoi8XBoc0oWrc3l0Ge,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
https://drive.google.com/drive/folders/1Okm1RUqC5KdmrjlBJUu3o6Gr-eaPVSL4,,False
https://tinyurl.com/EDUCAUSE-CCCG,,False
